asset_id,unit_id,period,in_scope,asset_criticality,qds_max,oldest_critical_age_days,kev_count
A00090,SALES,P2,1,5,43,21,0
A00091,SALES,P2,1,2,51,53,0
A00092,SALES,P2,0,0,0,0,0
A00093,SALES,P2,1,2,49,18,0
A00094,SALES,P2,1,3,55,26,0
A00095,SALES,P2,1,4,46,4,0
A00096,SALES,P2,1,2,49,58,0
A00097,SALES,P2,1,1,83,161,0
A00098,SALES,P2,1,2,48,344,0
A00099,SALES,P2,1,3,25,26,0
A00100,SALES,P2,0,0,0,0,0
A00101,SALES,P2,1,3,42,113,0
A00102,SALES,P2,1,2,34,2,0
A00103,SALES,P2,1,3,54,48,0
A00104,SALES,P2,1,3,33,3,0
A00105,SALES,P2,1,3,63,53,0
A00106,SALES,P2,1,2,36,20,0
A00107,SALES,P2,1,2,77,9,0
A00108,SALES,P2,1,4,54,23,0
A00109,SALES,P2,1,2,71,49,0
A00110,SALES,P2,1,4,59,13,0
A00111,SALES,P2,1,4,82,94,2
A00112,SALES,P2,1,3,61,106,0
A00113,SALES,P2,1,3,82,31,0
A00114,SALES,P2,1,3,30,1,0
A00115,SALES,P2,1,4,63,8,0
A00116,SALES,P2,1,4,50,47,0
A00117,SALES,P2,1,2,54,52,0
A00118,SALES,P2,1,4,79,38,0
A00119,SALES,P2,1,4,57,13,0
A00120,SALES,P2,1,3,74,10,0
A00121,SALES,P2,1,3,47,17,0
A00122,SALES,P2,1,1,71,5,0
A00123,SALES,P2,1,4,69,34,0
A00124,SALES,P2,1,5,65,48,0
A00125,SALES,P2,1,4,61,128,0
A00126,SALES,P2,1,4,59,34,0
A00127,SALES,P2,0,0,0,0,0
A00128,SALES,P2,1,2,75,1,0
A00129,SALES,P2,1,3,37,24,0
A00130,SALES,P2,1,3,47,26,0
A00131,SALES,P2,1,3,60,11,0
A00132,SALES,P2,1,2,32,9,0
A00133,SALES,P2,1,5,64,129,0
A00134,SALES,P2,1,4,76,41,0
A00135,SALES,P2,1,2,40,77,0
A00136,SALES,P2,1,1,26,18,0
A00137,SALES,P2,1,4,63,44,0
A00138,SALES,P2,1,4,55,74,0
A00139,SALES,P2,1,1,76,3,0
A00140,SALES,P2,0,0,0,0,0
A00141,SALES,P2,1,4,70,40,0
A00142,SALES,P2,1,3,69,3,0
A00143,SALES,P2,0,0,0,0,0
A00144,SALES,P2,1,3,57,110,0
A00145,SALES,P2,1,2,70,91,0
A00146,SALES,P2,1,3,72,41,0
A00147,SALES,P2,1,4,33,51,0
A00148,SALES,P2,1,3,51,18,0
A00149,SALES,P2,1,4,72,18,0
A00150,SALES,P2,1,1,45,34,0
A00151,SALES,P2,1,3,56,55,0
A00152,SALES,P2,1,1,39,75,0
A00153,SALES,P2,1,3,45,86,0
A00154,SALES,P2,1,4,39,9,0
A00155,SALES,P2,1,4,77,46,0
A00156,SALES,P2,0,0,0,0,0
A00157,SALES,P2,1,4,59,2,0
A00158,SALES,P2,1,2,45,26,0
A00159,SALES,P2,0,0,0,0,0
A00160,SALES,P2,1,3,65,6,0
A00161,SALES,P2,1,3,37,31,0
A00162,SALES,P2,1,4,21,31,0
A00163,SALES,P2,0,0,0,0,0
A00164,SALES,P2,0,0,0,0,0
A00165,SALES,P2,1,3,57,29,0
A00166,SALES,P2,0,0,0,0,0
A00167,SALES,P2,1,2,73,24,0
A00168,SALES,P2,1,4,50,4,0
A00169,SALES,P2,1,4,42,9,0
A00170,SALES,P2,1,2,67,25,0
A00171,SALES,P2,1,3,43,6,0
A00172,SALES,P2,1,2,40,48,0
A00173,SALES,P2,1,3,46,41,0
A00174,SALES,P2,1,3,75,55,0
A00175,SALES,P2,1,4,36,3,0
A00176,SALES,P2,1,4,45,11,0
A00177,SALES,P2,1,2,53,75,0
A00178,SALES,P2,0,0,0,0,0
A00179,SALES,P2,1,5,62,36,0
A00180,SALES,P2,1,3,71,5,0
A00181,SALES,P2,1,4,70,2,0
A00182,SALES,P2,1,3,35,46,0
A00183,SALES,P2,1,3,48,65,0
A00184,SALES,P2,0,0,0,0,0
A00185,SALES,P2,1,3,65,63,0
A00186,SALES,P2,1,4,49,21,0
A00187,SALES,P2,1,4,73,83,0
A00188,SALES,P2,1,4,58,23,0
A00189,SALES,P2,1,3,68,9,0
A00190,SALES,P2,1,5,43,75,0
A00191,SALES,P2,1,3,41,1,0
A00192,SALES,P2,1,4,60,3,0
A00193,SALES,P2,1,4,69,16,0
A00194,SALES,P2,0,0,0,0,0
A00195,SALES,P2,1,3,44,12,0
A00196,SALES,P2,1,3,56,7,0
A00197,SALES,P2,1,1,24,62,0
A00198,SALES,P2,1,4,50,54,0
A00199,SALES,P2,1,2,83,55,0
A00200,SALES,P2,0,0,0,0,0
A00201,SALES,P2,1,4,86,29,0
A00202,SALES,P2,1,2,46,14,0
A00203,SALES,P2,1,3,57,55,0
A00204,SALES,P2,1,5,44,17,0
A00205,SALES,P2,1,3,80,9,0
A00206,SALES,P2,1,3,62,17,0
A00207,SALES,P2,1,4,73,3,0
A00208,SALES,P2,1,3,38,15,0
A00209,SALES,P2,1,3,67,36,0
A00210,SALES,P2,1,4,73,1,0
A00211,SALES,P2,1,2,47,149,0
A00212,SALES,P2,1,3,36,6,0
A00213,SALES,P2,1,3,65,139,0
A00214,SALES,P2,1,2,46,28,0
A00215,SALES,P2,1,4,35,43,0
A00216,SALES,P2,1,3,41,52,0
A00217,SALES,P2,0,0,0,0,0
A00218,SALES,P2,1,4,72,26,0
A00219,SALES,P2,0,0,0,0,0
A00220,SALES,P2,1,2,53,58,0
A00221,SALES,P2,1,3,54,36,0
A00222,SALES,P2,1,2,73,18,0
A00223,SALES,P2,1,3,72,69,0
A00224,SALES,P2,1,3,49,75,0
A00225,SALES,P2,1,3,59,14,0
A00226,SALES,P2,1,4,73,30,0
A00227,SALES,P2,1,2,53,28,0
A00228,SALES,P2,1,3,64,9,0
A00229,SALES,P2,1,3,55,22,0
A00230,SALES,P2,1,2,56,52,0
A00231,SALES,P2,1,2,61,13,0
A00232,SALES,P2,1,3,41,25,0
A00233,SALES,P2,1,3,48,1,0
A00234,SALES,P2,1,4,67,59,0
A00235,SALES,P2,1,4,40,15,0
A00236,SALES,P2,1,2,59,17,0
A00237,SALES,P2,1,4,77,94,0
A00238,SALES,P2,1,2,33,48,0
A00239,SALES,P2,1,2,51,9,0
A00240,SALES,P2,1,4,40,1,0
A00241,SALES,P2,1,2,82,39,0
A00242,SALES,P2,1,3,40,40,0
A00243,SALES,P2,1,3,36,2,0
A00244,SALES,P2,1,4,70,22,0
A00245,SALES,P2,1,3,46,218,0
A00246,SALES,P2,1,3,59,53,0
A00247,SALES,P2,1,4,31,28,0
A00248,SALES,P2,1,5,46,204,0
A00249,SALES,P2,0,0,0,0,0
A00250,SALES,P2,1,3,83,15,0
A00251,SALES,P2,1,3,38,10,0
A00252,SALES,P2,1,2,52,22,0
A00253,SALES,P2,1,2,47,28,0
A00254,SALES,P2,1,3,75,82,0
A00255,SALES,P2,1,5,58,2,0
A00256,SALES,P2,0,0,0,0,0
A00257,SALES,P2,1,3,42,35,0
A00258,SALES,P2,1,3,47,5,0
A00259,SALES,P2,1,3,60,2,0
A00260,SALES,P2,1,3,31,60,0
A00261,SALES,P2,1,2,50,29,0
A00262,SALES,P2,1,4,50,7,0
A00263,SALES,P2,1,3,39,5,0
A00264,SALES,P2,1,1,62,12,0
A00265,SALES,P2,1,5,85,320,0
A00266,SALES,P2,1,5,31,35,0
A00267,SALES,P2,1,4,55,3,0
A00268,SALES,P2,1,4,86,27,0
A00269,SALES,P2,1,4,62,39,0
A00270,SALES,P2,1,1,34,177,0
A00271,SALES,P2,1,3,56,12,0
A00272,SALES,P2,1,5,46,46,0
A00273,SALES,P2,1,2,49,5,0
A00274,SALES,P2,1,4,47,10,0
A00275,SALES,P2,1,4,49,0,0
A00276,SALES,P2,1,2,33,29,0
A00277,SALES,P2,1,3,60,20,0
A00278,SALES,P2,0,0,0,0,0
A00279,SALES,P2,1,4,78,112,0
A00280,SALES,P2,1,4,31,17,0
A00281,SALES,P2,1,4,45,41,0
A00282,SALES,P2,1,3,100,20,1
A00283,SALES,P2,1,3,28,104,0
A00284,SALES,P2,0,0,0,0,0
A00285,SALES,P2,1,3,47,14,0
A00286,SALES,P2,1,3,46,39,0
A00287,SALES,P2,1,3,22,17,0
A00288,SALES,P2,0,0,0,0,0
A00289,SALES,P2,1,3,28,24,0
A00290,SALES,P2,1,2,55,7,0
A00291,SALES,P2,1,3,64,28,0
A00292,SALES,P2,1,4,56,6,0
A00293,SALES,P2,0,0,0,0,0
A00294,SALES,P2,0,0,0,0,0
A00295,SALES,P2,1,4,70,80,0
A00296,SALES,P2,0,0,0,0,0
A00297,SALES,P2,1,3,41,20,0
A00298,SALES,P2,1,3,71,65,0
A00299,SALES,P2,1,3,66,6,0
A00300,SALES,P2,1,1,54,7,0
A00301,SALES,P2,1,3,29,73,0
A00302,SALES,P2,1,3,53,177,0
A00303,SALES,P2,1,3,45,18,0
A00304,SALES,P2,1,4,23,88,0
A00305,SALES,P2,1,4,98,49,1
A00306,SALES,P2,1,2,61,3,0
A00307,SALES,P2,1,4,52,16,0
A00308,SALES,P2,1,3,56,2,0
A00309,SALES,P2,1,2,72,3,0
A00310,SALES,P2,1,3,61,4,0
A00311,SALES,P2,1,3,70,20,0
A00312,SALES,P2,1,3,67,8,0
A00313,SALES,P2,1,2,51,29,0
A00314,SALES,P2,1,3,73,87,0
A00315,SALES,P2,0,0,0,0,0
A00316,SALES,P2,1,3,63,59,0
A00317,SALES,P2,0,0,0,0,0
A00318,SALES,P2,1,3,67,28,0
A00319,SALES,P2,1,3,18,18,0
A00320,SALES,P2,1,3,34,11,0
A00321,SALES,P2,1,4,30,13,0
A00322,SALES,P2,1,3,52,26,0
A00323,SALES,P2,1,4,62,77,0
A00324,SALES,P2,1,2,40,43,0
A00325,SALES,P2,1,3,73,14,0
A00326,SALES,P2,1,3,56,27,0
A00327,SALES,P2,1,5,50,23,0
A00328,SALES,P2,1,5,47,27,0
A00329,SALES,P2,0,0,0,0,0
A00330,SALES,P2,1,4,30,36,0
A00331,SALES,P2,0,0,0,0,0
A00332,SALES,P2,1,2,48,4,0
A00333,SALES,P2,1,2,66,65,0
A00334,SALES,P2,1,3,66,12,0
A00335,SALES,P2,1,3,43,3,0
A00336,SALES,P2,1,3,38,6,0
A00337,SALES,P2,1,2,72,113,0
A00338,SALES,P2,1,3,48,71,0
A00339,SALES,P2,1,4,55,5,0
A00340,SALES,P2,1,1,61,23,0
A00341,SALES,P2,1,5,42,3,0
A00342,SALES,P2,1,2,46,82,0
A00343,SALES,P2,1,3,33,13,0
A00344,SALES,P2,1,4,33,12,0
A00345,SALES,P2,1,3,46,53,0
A00346,SALES,P2,1,4,26,2,0
A00347,SALES,P2,1,2,61,4,0
A00348,SALES,P2,1,3,36,11,0
A00349,SALES,P2,1,2,52,106,0
A00350,SALES,P2,1,4,66,10,0
A00351,SALES,P2,1,3,44,108,0
A00352,SALES,P2,1,4,49,18,0
A00353,SALES,P2,1,4,6,16,0
A00354,SALES,P2,0,0,0,0,0
A00355,SALES,P2,1,3,26,34,0
A00356,SALES,P2,1,5,67,4,0
A00357,SALES,P2,1,4,74,81,0
A00358,SALES,P2,1,2,35,82,0
A00359,SALES,P2,1,4,39,30,0
A00360,SALES,P2,1,3,24,10,0
A00361,SALES,P2,1,2,26,69,0
A00362,SALES,P2,0,0,0,0,0
A00363,SALES,P2,1,3,37,58,0
A00364,SALES,P2,1,4,66,2,0
A00365,SALES,P2,1,4,48,16,0
A00366,SALES,P2,1,2,41,96,0
A00367,SALES,P2,1,4,55,17,0
A00368,SALES,P2,1,2,20,10,0
A00369,SALES,P2,1,4,76,40,0
A00370,SALES,P2,1,2,42,140,0
A00371,SALES,P2,1,4,46,4,0
A00372,SALES,P2,0,0,0,0,0
A00373,SALES,P2,1,3,92,22,0
A00374,SALES,P2,0,0,0,0,0
A00375,SALES,P2,1,3,15,48,0
A00376,SALES,P2,1,2,24,21,0
A00377,SALES,P2,1,2,35,14,0
A00378,SALES,P2,1,3,78,2,0
A00379,SALES,P2,1,1,50,93,0
A00380,SALES,P2,1,3,76,140,0
A00381,SALES,P2,1,4,39,12,0
A00382,SALES,P2,1,3,45,72,0
A00383,SALES,P2,1,1,63,52,0
A00384,SALES,P2,0,0,0,0,0
A00385,SALES,P2,1,3,23,0,0
A00386,SALES,P2,1,2,48,48,0
A00387,SALES,P2,1,3,67,56,0
A00388,SALES,P2,1,3,52,42,0
A00389,SALES,P2,1,2,78,64,0
A00390,SALES,P2,0,0,0,0,0
A00391,SALES,P2,1,4,72,30,0
A00392,SALES,P2,1,3,68,12,0
A00393,SALES,P2,1,1,68,106,0
A00394,SALES,P2,1,2,44,91,0
A00395,SALES,P2,1,3,87,4,0
A00396,SALES,P2,0,0,0,0,0
A00397,SALES,P2,1,4,53,67,0
A00398,SALES,P2,1,2,35,9,0
A00399,SALES,P2,1,4,55,35,0
A00400,SALES,P2,1,3,59,79,0
A00401,SALES,P2,1,3,57,30,0
A00402,SALES,P2,1,4,58,53,0
A00403,SALES,P2,1,3,47,68,0
A00404,SALES,P2,1,3,35,14,0
A00405,SALES,P2,1,3,54,25,0
A00406,SALES,P2,1,3,47,4,0
A00407,SALES,P2,1,3,55,10,0
A00408,SALES,P2,1,3,37,50,0
A00409,SALES,P2,1,4,54,149,0
A00410,SALES,P2,0,0,0,0,0
A00411,SALES,P2,1,3,70,94,0
A00412,SALES,P2,1,4,47,32,0
A00413,SALES,P2,1,2,66,137,0
A00414,SALES,P2,1,3,49,65,0
A00415,SALES,P2,1,3,43,59,0
A00416,SALES,P2,1,3,42,105,0
A00417,SALES,P2,1,3,51,14,0
A00418,SALES,P2,1,2,78,50,0
A00419,SALES,P2,0,0,0,0,0
A00420,SALES,P2,1,4,27,48,0
A00421,SALES,P2,1,3,25,28,0
A00422,SALES,P2,0,0,0,0,0
A00423,SALES,P2,1,2,15,28,0
A00424,SALES,P2,1,3,56,7,0
A00425,SALES,P2,1,3,56,48,0
A00426,SALES,P2,1,4,46,13,0
A00427,SALES,P2,1,3,48,21,0
A00428,SALES,P2,1,2,37,11,0
A00429,SALES,P2,1,4,31,61,0
A00430,SALES,P2,1,4,49,30,0
A00431,SALES,P2,1,3,45,104,0
A00432,SALES,P2,1,3,58,8,0
A00433,SALES,P2,1,2,71,12,0
A00434,SALES,P2,1,2,47,92,0
A00435,SALES,P2,1,2,58,40,0
A00436,SALES,P2,1,3,56,58,0
A00437,SALES,P2,1,5,28,72,0
A00438,SALES,P2,1,3,52,87,0
A00439,SALES,P2,1,4,67,8,0
A00440,SALES,P2,1,4,48,45,0
A00441,SALES,P2,1,2,33,119,0
A00442,SALES,P2,1,4,37,21,0
A00443,SALES,P2,1,1,44,127,0
A00444,SALES,P2,1,3,60,8,0
A00445,SALES,P2,1,4,59,9,0
A00446,SALES,P2,1,4,74,305,0
A00447,SALES,P2,1,4,53,46,0
A00448,SALES,P2,1,4,45,24,0
A00449,FIN,P2,1,3,50,13,0
A00450,FIN,P2,1,5,45,5,0
A00451,FIN,P2,1,3,65,9,0
A00452,FIN,P2,1,5,73,12,0
A00453,FIN,P2,1,5,66,129,0
A00454,FIN,P2,1,5,54,35,0
A00455,FIN,P2,1,5,20,2,0
A00456,FIN,P2,0,0,0,0,0
A00457,FIN,P2,1,5,51,43,0
A00458,FIN,P2,1,4,63,1,0
A00459,FIN,P2,1,4,60,25,0
A00460,FIN,P2,1,4,27,15,0
A00461,FIN,P2,1,5,46,21,0
A00462,FIN,P2,1,5,46,36,0
A00463,FIN,P2,1,4,60,26,0
A00464,FIN,P2,1,5,19,19,0
A00465,FIN,P2,1,5,66,35,0
A00466,FIN,P2,1,5,27,24,0
A00467,FIN,P2,1,4,21,31,0
A00468,FIN,P2,1,4,44,13,0
A00469,FIN,P2,0,0,0,0,0
A00470,FIN,P2,1,5,53,10,0
A00471,FIN,P2,1,4,41,50,0
A00472,FIN,P2,1,4,63,8,0
A00473,FIN,P2,1,5,40,11,0
A00474,FIN,P2,1,5,23,23,0
A00475,FIN,P2,1,5,23,10,0
A00476,FIN,P2,1,2,22,18,0
A00477,FIN,P2,1,5,0,8,0
A00478,FIN,P2,1,3,54,11,0
A00479,FIN,P2,1,5,57,56,0
A00480,FIN,P2,1,5,44,23,0
A00481,FIN,P2,1,5,68,28,0
A00482,FIN,P2,1,5,67,70,0
A00483,FIN,P2,1,4,44,1,0
A00484,FIN,P2,1,5,44,38,0
A00485,FIN,P2,1,4,62,175,0
A00486,FIN,P2,1,5,44,100,0
A00487,FIN,P2,1,5,45,10,0
A00488,FIN,P2,1,5,21,9,0
A00489,FIN,P2,1,5,48,11,0
A00490,FIN,P2,1,5,37,8,0
A00491,FIN,P2,1,5,56,46,0
A00492,FIN,P2,1,5,27,7,0
A00493,FIN,P2,1,5,25,17,0
A00494,FIN,P2,1,3,70,27,0
A00495,FIN,P2,1,5,47,151,0
A00496,FIN,P2,1,4,25,52,0
A00497,FIN,P2,1,4,36,32,0
A00498,FIN,P2,1,4,40,58,0
A00499,FIN,P2,1,5,39,45,0
A00500,FIN,P2,1,4,66,48,0
A00501,FIN,P2,1,4,65,32,0
A00502,FIN,P2,1,3,74,23,0
A00503,FIN,P2,1,3,32,26,0
A00504,FIN,P2,1,5,55,37,0
A00505,FIN,P2,1,4,21,2,0
A00506,FIN,P2,1,4,45,90,0
A00507,FIN,P2,1,5,58,149,0
A00508,FIN,P2,1,5,77,92,0
A00509,FIN,P2,1,5,37,37,0
A00510,FIN,P2,1,5,49,121,0
A00511,FIN,P2,1,5,32,14,0
A00512,FIN,P2,1,5,50,5,0
A00513,FIN,P2,1,5,69,16,0
A00514,FIN,P2,1,4,55,5,0
A00515,FIN,P2,1,5,79,26,0
A00516,FIN,P2,1,3,41,47,0
A00517,FIN,P2,1,3,55,34,0
A00518,FIN,P2,1,4,43,58,0
A00519,FIN,P2,0,0,0,0,0
A00520,FIN,P2,0,0,0,0,0
A00521,FIN,P2,1,5,60,48,0
A00522,FIN,P2,1,5,46,83,0
A00523,FIN,P2,1,5,54,5,0
A00524,FIN,P2,1,4,49,2,0
A00525,FIN,P2,1,5,42,8,0
A00526,FIN,P2,1,5,50,6,0
A00527,FIN,P2,1,5,41,35,0
A00528,FIN,P2,0,0,0,0,0
A00529,FIN,P2,1,5,54,43,0
A00530,FIN,P2,1,5,80,21,0
A00531,FIN,P2,1,5,60,22,0
A00532,FIN,P2,1,5,34,45,0
A00533,FIN,P2,1,5,29,5,0
A00534,FIN,P2,1,4,20,1,0
A00535,FIN,P2,1,5,43,20,0
A00536,FIN,P2,1,5,32,1,0
A00537,FIN,P2,1,5,59,7,0
A00538,FIN,P2,1,5,53,7,0
A00539,FIN,P2,1,5,48,17,0
A00540,FIN,P2,1,4,34,28,0
A00541,FIN,P2,1,5,41,19,0
A00542,FIN,P2,1,5,44,39,0
A00543,FIN,P2,1,4,63,11,0
A00544,FIN,P2,1,4,57,24,0
A00545,FIN,P2,1,4,67,8,0
A00546,FIN,P2,1,4,67,8,0
A00547,FIN,P2,1,5,67,9,0
A00548,FIN,P2,1,5,79,33,0
A00549,FIN,P2,1,4,53,15,0
A00550,FIN,P2,1,5,23,3,0
A00551,FIN,P2,1,5,59,10,0
A00552,FIN,P2,1,5,70,92,0
A00553,FIN,P2,1,5,41,12,0
A00554,FIN,P2,1,3,32,18,0
A00555,FIN,P2,1,4,67,23,0
A00556,FIN,P2,1,5,75,34,0
A00557,FIN,P2,1,3,40,29,0
A00558,FIN,P2,1,5,44,22,0
A00559,FIN,P2,1,5,48,6,0
A00560,FIN,P2,1,5,31,4,0
A00561,FIN,P2,1,5,29,19,0
A00562,FIN,P2,1,5,52,36,0
A00563,FIN,P2,1,4,56,27,0
A00564,FIN,P2,1,5,26,11,0
A00565,FIN,P2,1,5,42,5,0
A00566,FIN,P2,1,5,28,34,0
A00567,FIN,P2,1,5,38,16,0
A00568,FIN,P2,1,4,12,1,0
A00569,FIN,P2,1,4,19,13,0
A00570,FIN,P2,1,5,35,18,0
A00571,FIN,P2,1,5,47,52,0
A00572,FIN,P2,1,5,57,15,0
A00573,FIN,P2,1,5,49,28,0
A00574,FIN,P2,1,4,54,15,0
A00575,FIN,P2,1,5,38,39,0
A00576,FIN,P2,1,5,28,25,0
A00577,FIN,P2,1,5,57,97,0
A00578,FIN,P2,1,5,31,31,0
A00579,FIN,P2,1,5,48,9,0
A00580,FIN,P2,1,3,62,24,0
A00581,FIN,P2,1,5,73,20,0
A00582,FIN,P2,1,4,34,5,0
A00583,FIN,P2,1,5,35,44,0
A00584,FIN,P2,1,5,42,14,0
A00585,FIN,P2,1,5,74,36,0
A00586,FIN,P2,1,4,30,51,0
A00587,FIN,P2,1,5,30,15,0
A00588,FIN,P2,0,0,0,0,0
A00589,FIN,P2,1,5,28,47,0
A00590,FIN,P2,1,5,45,8,0
A00591,FIN,P2,1,5,38,1,0
A00592,FIN,P2,1,5,42,77,0
A00593,FIN,P2,1,5,34,35,0
A00594,FIN,P2,0,0,0,0,0
A00595,FIN,P2,1,4,44,21,0
A00596,FIN,P2,1,3,36,16,0
A00597,FIN,P2,1,5,47,16,0
A00598,FIN,P2,1,4,23,0,0
A00599,FIN,P2,1,5,36,17,0
A00600,FIN,P2,1,5,45,52,0
A00601,FIN,P2,1,5,48,1,0
A00602,FIN,P2,1,4,43,200,0
A00603,FIN,P2,1,5,63,17,0
A00604,FIN,P2,1,5,57,25,0
A00605,FIN,P2,1,5,82,3,1
A00606,FIN,P2,1,5,40,10,0
A00607,FIN,P2,1,4,57,77,0
A00608,FIN,P2,1,4,22,46,0
A00609,FIN,P2,1,5,75,53,0
A00610,FIN,P2,0,0,0,0,0
A00611,FIN,P2,1,5,59,17,0
A00612,FIN,P2,1,5,60,24,0
A00613,FIN,P2,1,5,33,17,0
A00614,FIN,P2,1,4,49,97,0
A00615,FIN,P2,1,5,29,5,0
A00616,FIN,P2,1,5,39,31,0
A00617,FIN,P2,1,5,34,12,0
A00618,FIN,P2,1,5,47,1,0
A00619,FIN,P2,1,5,48,30,0
A00620,FIN,P2,1,3,66,24,0
A00621,FIN,P2,1,4,39,4,0
A00622,FIN,P2,1,4,25,26,0
A00623,FIN,P2,1,5,44,30,0
A00624,FIN,P2,1,4,25,33,0
A00625,FIN,P2,1,4,66,33,0
A00626,FIN,P2,1,5,19,1,0
A00627,FIN,P2,1,5,33,3,0
A00628,FIN,P2,1,4,30,26,0
A00629,FIN,P2,1,5,27,80,0
A00630,FIN,P2,1,5,30,26,0
A00631,FIN,P2,0,0,0,0,0
A00632,FIN,P2,1,5,47,15,0
A00633,FIN,P2,1,5,33,119,0
A00634,FIN,P2,1,5,25,5,0
A00635,FIN,P2,1,5,21,13,0
A00636,FIN,P2,1,5,57,29,0
A00637,FIN,P2,1,5,52,14,0
A00638,FIN,P2,1,5,52,43,0
A00639,FIN,P2,1,5,36,1,0
A00640,FIN,P2,1,4,29,3,0
A00641,FIN,P2,1,4,66,19,0
A00642,FIN,P2,1,5,65,17,0
A00643,FIN,P2,1,4,47,7,0
A00644,FIN,P2,1,5,56,8,0
A00645,FIN,P2,1,5,35,25,0
A00646,FIN,P2,0,0,0,0,0
A00647,FIN,P2,1,5,44,12,0
A00648,FIN,P2,1,4,51,73,0
A00649,FIN,P2,1,4,72,11,0
A00650,FIN,P2,1,4,26,20,0
A00651,FIN,P2,1,5,33,28,0
A00652,FIN,P2,1,4,72,32,0
A00653,FIN,P2,1,5,38,90,0
A00654,FIN,P2,1,5,25,15,0
A00655,FIN,P2,1,5,53,29,0
A00656,FIN,P2,1,4,60,42,0
A00657,FIN,P2,1,4,54,13,0
A00658,FIN,P2,1,5,65,1,0
A00659,FIN,P2,1,5,66,16,0
A00660,FIN,P2,1,3,56,16,0
A00661,FIN,P2,1,4,24,42,0
A00662,FIN,P2,1,3,32,0,0
