person_id,unit_id,period,in_scope,phish_sent,phish_clicked,phish_reported,credential_submitted,training_assigned,training_completed
P00313,FIN,P1,1,4,0,0,0,3,3
P00314,FIN,P1,1,4,3,2,2,3,3
P00315,FIN,P1,1,4,0,1,0,4,3
P00316,FIN,P1,1,4,0,1,0,3,3
P00317,FIN,P1,1,3,0,1,0,3,3
P00318,FIN,P1,1,3,0,1,0,4,4
P00319,FIN,P1,1,5,0,0,0,2,2
P00320,FIN,P1,1,5,1,1,0,2,2
P00321,FIN,P1,1,3,0,0,0,3,3
P00322,FIN,P1,1,4,0,0,0,2,2
P00323,FIN,P1,1,4,0,1,0,4,4
P00324,FIN,P1,1,5,0,0,0,4,4
P00325,FIN,P1,1,4,0,1,0,3,3
P00326,FIN,P1,1,5,0,0,0,4,4
P00327,FIN,P1,1,3,2,0,1,3,2
P00328,FIN,P1,1,4,3,0,1,3,2
P00329,FIN,P1,1,3,0,2,0,4,4
P00330,FIN,P1,1,5,1,1,1,3,3
P00331,FIN,P1,1,4,0,1,0,3,3
P00332,FIN,P1,1,3,2,0,1,4,3
P00333,FIN,P1,1,4,0,1,0,4,4
P00334,FIN,P1,1,4,1,0,0,4,4
P00335,FIN,P1,1,4,2,0,0,4,4
P00336,FIN,P1,1,3,1,0,1,2,2
P00337,FIN,P1,1,5,0,2,0,4,4
P00338,FIN,P1,1,4,1,0,0,3,3
P00339,FIN,P1,1,4,0,1,0,3,2
P00340,FIN,P1,0,0,0,0,0,0,0
P00341,FIN,P1,1,3,0,2,0,3,2
P00342,FIN,P1,1,4,1,1,1,3,3
P00343,FIN,P1,1,3,0,1,0,4,3
P00344,FIN,P1,1,4,0,0,0,4,4
P00345,FIN,P1,1,4,1,0,1,3,2
P00346,FIN,P1,1,5,2,1,1,4,4
P00347,FIN,P1,1,4,1,1,1,3,3
P00348,FIN,P1,1,3,1,0,1,4,3
P00349,FIN,P1,1,3,0,2,0,3,2
P00350,FIN,P1,1,3,1,1,0,2,2
P00351,FIN,P1,1,4,1,1,0,2,1
P00352,FIN,P1,1,4,0,0,0,3,3
P00353,FIN,P1,1,4,0,1,0,3,3
P00354,FIN,P1,1,3,0,1,0,3,3
P00355,FIN,P1,1,3,1,0,0,4,4
P00356,FIN,P1,1,5,0,0,0,3,3
P00357,FIN,P1,1,4,0,0,0,2,0
P00358,FIN,P1,1,4,1,0,0,2,2
P00359,FIN,P1,1,5,1,1,0,4,3
P00360,FIN,P1,1,4,0,0,0,3,3
P00361,FIN,P1,1,3,1,0,1,2,2
P00362,FIN,P1,1,3,3,0,2,4,3
P00363,FIN,P1,1,4,0,2,0,2,2
P00364,FIN,P1,1,3,2,0,1,2,1
P00365,FIN,P1,1,4,1,1,1,3,3
P00366,FIN,P1,1,5,0,1,0,3,3
P00367,FIN,P1,1,4,1,2,1,3,3
P00368,FIN,P1,1,4,2,1,0,4,4
P00369,FIN,P1,1,5,0,0,0,3,2
P00370,FIN,P1,1,5,1,1,0,3,3
P00371,FIN,P1,1,5,2,2,0,3,3
P00372,FIN,P1,1,3,1,0,1,3,3
P00373,FIN,P1,1,5,0,3,0,4,4
P00374,FIN,P1,1,3,1,0,0,2,1
P00375,FIN,P1,1,5,1,1,0,3,3
P00376,FIN,P1,1,5,1,1,0,3,2
P00377,FIN,P1,1,4,0,1,0,3,3
P00378,FIN,P1,1,3,0,1,0,2,2
P00379,FIN,P1,1,5,1,1,1,3,1
P00380,FIN,P1,1,4,1,2,1,2,2
P00381,FIN,P1,1,4,1,0,0,4,4
P00382,FIN,P1,1,3,1,0,0,3,3
P00383,FIN,P1,1,4,0,2,0,2,2
P00384,FIN,P1,1,3,0,1,0,3,2
P00385,FIN,P1,1,3,1,0,1,3,3
P00386,FIN,P1,1,4,0,4,0,2,2
P00387,FIN,P1,1,3,0,0,0,3,3
P00388,FIN,P1,1,4,0,1,0,4,4
P00389,FIN,P1,1,5,0,0,0,3,3
P00390,FIN,P1,1,4,1,2,1,4,4
P00391,FIN,P1,1,5,2,1,1,2,2
P00392,FIN,P1,1,4,1,1,0,2,2
P00393,FIN,P1,1,5,0,1,0,2,2
P00394,FIN,P1,1,3,1,0,1,3,3
P00395,FIN,P1,1,4,1,1,0,3,3
P00396,FIN,P1,1,4,0,3,0,2,2
P00397,FIN,P1,1,4,1,3,0,3,3
P00398,FIN,P1,1,5,0,3,0,4,2
P00399,FIN,P1,1,3,0,0,0,3,2
P00400,FIN,P1,1,4,1,0,0,3,3
P00401,FIN,P1,1,5,1,1,1,2,2
P00402,FIN,P1,1,4,1,0,1,3,3
P00403,FIN,P1,1,4,2,0,2,2,2
P00404,FIN,P1,1,4,1,1,0,3,2
P00405,FIN,P1,1,4,1,1,0,3,2
P00406,FIN,P1,1,5,1,0,1,4,4
P00407,FIN,P1,1,5,1,2,0,4,4
P00408,FIN,P1,1,4,0,0,0,2,2
P00409,FIN,P1,1,4,1,0,0,4,4
P00410,FIN,P1,1,5,0,0,0,2,2
P00411,FIN,P1,1,4,0,0,0,3,3
P00412,FIN,P1,1,5,2,0,2,3,1
P00413,FIN,P1,1,3,0,0,0,2,2
P00414,FIN,P1,1,5,1,2,0,3,1
P00415,FIN,P1,1,5,0,0,0,3,3
P00416,FIN,P1,1,5,0,2,0,3,2
P00417,FIN,P1,1,3,1,2,1,2,2
P00418,FIN,P1,1,5,1,0,0,2,2
P00419,FIN,P1,1,3,1,1,0,3,2
P00420,FIN,P1,1,5,0,0,0,4,4
P00421,IT,P1,1,5,0,0,0,4,4
P00422,IT,P1,1,4,1,2,0,3,3
P00423,IT,P1,1,4,0,3,0,2,2
P00424,IT,P1,1,4,0,2,0,3,3
P00425,IT,P1,1,4,1,1,1,4,3
P00426,IT,P1,1,4,1,2,0,4,4
P00427,IT,P1,1,3,0,2,0,2,2
P00428,IT,P1,1,5,1,4,0,3,3
P00429,IT,P1,1,4,0,3,0,4,4
P00430,IT,P1,1,5,1,3,1,2,2
P00431,IT,P1,1,5,1,3,0,2,1
P00432,IT,P1,1,5,0,3,0,4,4
P00433,IT,P1,1,3,0,0,0,4,4
P00434,IT,P1,1,4,2,1,2,3,3
P00435,IT,P1,1,3,0,3,0,3,2
P00436,IT,P1,1,4,1,0,0,2,2
P00437,IT,P1,1,5,0,1,0,3,3
P00438,IT,P1,1,4,0,0,0,3,3
P00439,IT,P1,1,4,0,2,0,3,3
P00440,IT,P1,1,4,0,1,0,4,4
P00441,IT,P1,1,4,0,2,0,3,3
P00442,IT,P1,1,4,0,2,0,2,2
P00443,IT,P1,1,3,0,2,0,2,2
P00444,IT,P1,1,5,0,0,0,4,4
P00445,IT,P1,1,4,0,3,0,3,2
P00446,IT,P1,1,4,0,1,0,4,4
P00447,IT,P1,1,5,1,1,0,3,3
P00448,IT,P1,1,4,0,2,0,3,3
P00449,IT,P1,1,3,0,1,0,3,3
P00450,IT,P1,1,4,0,0,0,3,2
P00451,IT,P1,1,3,0,3,0,3,3
P00452,IT,P1,1,5,0,3,0,3,3
P00453,IT,P1,1,3,1,2,0,3,3
P00454,IT,P1,1,4,1,1,1,2,1
P00455,IT,P1,1,3,0,1,0,3,3
P00456,IT,P1,1,4,1,1,1,3,3
P00457,IT,P1,1,5,0,2,0,3,3
P00458,IT,P1,1,4,0,2,0,2,2
P00459,IT,P1,1,5,0,1,0,3,3
P00460,IT,P1,1,4,1,2,1,2,2
P00461,IT,P1,1,5,0,1,0,4,4
P00462,IT,P1,1,4,0,1,0,3,3
P00463,IT,P1,1,5,0,5,0,3,3
P00464,IT,P1,1,4,1,1,1,2,2
P00465,IT,P1,1,5,0,4,0,3,3
P00466,IT,P1,1,3,0,0,0,3,3
P00467,IT,P1,1,4,1,1,0,4,4
P00468,IT,P1,1,4,0,1,0,3,3
P00469,IT,P1,1,5,0,0,0,3,3
P00470,IT,P1,1,3,0,1,0,2,2
P00471,IT,P1,1,4,0,1,0,2,2
P00472,IT,P1,1,5,1,4,0,4,2
P00473,IT,P1,1,5,0,2,0,3,3
P00474,IT,P1,1,5,0,4,0,3,3
P00475,IT,P1,1,3,0,2,0,4,4
P00476,IT,P1,1,4,0,3,0,3,3
P00477,IT,P1,1,3,1,0,0,4,4
P00478,IT,P1,1,4,1,2,0,3,3
P00479,IT,P1,1,4,1,0,0,3,3
P00480,IT,P1,1,4,1,1,0,3,2
P00481,IT,P1,1,4,2,2,1,3,3
P00482,IT,P1,1,5,1,3,1,2,2
P00483,IT,P1,1,4,0,0,0,2,1
P00484,IT,P1,1,4,0,2,0,2,2
P00485,IT,P1,1,5,1,0,1,3,3
P00486,IT,P1,1,3,0,0,0,4,4
P00487,IT,P1,1,4,0,2,0,2,2
P00488,IT,P1,1,5,0,3,0,3,3
P00489,IT,P1,1,3,0,0,0,2,2
P00490,IT,P1,1,5,0,1,0,3,3
P00491,IT,P1,1,3,0,1,0,3,3
P00492,IT,P1,1,4,0,0,0,4,4
P00493,IT,P1,1,3,1,0,0,3,3
P00494,IT,P1,1,4,2,0,2,3,3
P00495,IT,P1,1,4,0,1,0,3,3
P00496,IT,P1,1,4,1,0,0,3,3
P00497,IT,P1,1,5,1,3,0,3,3
P00498,IT,P1,1,4,1,1,0,2,2
P00499,IT,P1,1,4,1,4,0,2,2
P00500,IT,P1,1,4,0,4,0,3,3
P00501,IT,P1,1,4,2,3,2,3,3
P00502,IT,P1,1,3,1,3,0,4,4
P00503,IT,P1,1,4,0,1,0,3,3
P00504,IT,P1,1,4,0,4,0,3,3
P00505,IT,P1,1,5,0,4,0,3,2
P00506,IT,P1,1,4,1,0,1,3,3
P00507,IT,P1,1,4,0,1,0,3,3
P00508,IT,P1,1,5,0,3,0,3,3
P00509,IT,P1,1,4,0,3,0,3,3
P00510,IT,P1,1,5,1,0,1,4,3
P00511,IT,P1,1,4,0,2,0,2,1
P00512,IT,P1,1,4,0,3,0,4,4
P00513,IT,P1,1,5,0,2,0,3,2
P00514,IT,P1,1,3,0,1,0,3,3
P00515,IT,P1,1,4,0,1,0,4,4
P00516,IT,P1,1,4,1,0,1,3,3
P00517,IT,P1,1,5,0,2,0,3,3
P00518,IT,P1,1,5,1,2,0,2,2
P00519,IT,P1,1,3,0,2,0,2,2
P00520,IT,P1,1,3,0,2,0,2,2
P00521,RND,P1,1,5,2,0,0,3,2
P00522,RND,P1,1,4,0,0,0,2,1
P00523,RND,P1,1,3,1,0,1,3,3
P00524,RND,P1,1,4,0,1,0,2,2
P00525,RND,P1,1,5,1,2,0,4,4
P00526,RND,P1,1,3,0,0,0,4,3
P00527,RND,P1,1,4,0,0,0,3,3
P00528,RND,P1,1,4,0,0,0,3,2
P00529,RND,P1,1,4,1,0,0,4,3
P00530,RND,P1,1,4,0,0,0,4,4
P00531,RND,P1,1,4,1,0,1,4,3
P00532,RND,P1,1,3,1,0,1,4,4
P00533,RND,P1,0,0,0,0,0,0,0
P00534,RND,P1,1,5,1,0,1,3,3
P00535,RND,P1,1,3,0,0,0,2,1
P00536,RND,P1,1,4,0,2,0,3,3
P00537,RND,P1,1,5,0,2,0,2,2
P00538,RND,P1,1,3,1,0,1,4,2
P00539,RND,P1,1,5,0,3,0,4,2
P00540,RND,P1,1,4,0,1,0,2,2
P00541,RND,P1,1,4,1,2,0,3,3
P00542,RND,P1,1,3,1,1,1,2,2
P00543,RND,P1,1,4,0,1,0,3,3
P00544,RND,P1,1,3,0,1,0,2,2
P00545,RND,P1,1,3,1,0,0,4,4
P00546,RND,P1,1,4,0,1,0,3,2
P00547,RND,P1,1,4,0,1,0,4,4
P00548,RND,P1,1,3,1,1,0,3,2
P00549,RND,P1,1,4,2,0,0,3,2
P00550,RND,P1,1,3,1,1,0,2,2
P00551,RND,P1,1,5,1,2,0,2,2
P00552,RND,P1,0,0,0,0,0,0,0
P00553,RND,P1,1,4,0,2,0,3,3
P00554,RND,P1,1,4,0,1,0,4,3
P00555,RND,P1,1,4,1,0,1,3,2
P00556,RND,P1,1,4,0,0,0,3,3
P00557,RND,P1,0,0,0,0,0,0,0
P00558,RND,P1,1,3,0,0,0,2,2
P00559,RND,P1,1,4,0,0,0,4,2
P00560,RND,P1,1,4,0,0,0,4,3
P00561,RND,P1,1,4,2,0,2,3,3
